lowercase,forms,if_interesting,Unnamed: 3,n_of_variants,class
'la,'la 'La,1.0,,2,
baahh'd,baahh'd,1.0,,1,would
human'ss,human'ss,1.0,,1,hiss
alonei'm,aloneI'm,1.0,,1,
telli'm,tellI'm,1.0,,1,
und'r,und'r,1.0,,1,
we'ere,we'ere,1.0,,1,
naaty'ol,naaty'ol,1.0,,1,
stole'em,stole'em,1.0,,1,
snoot',snoot',1.0,,1,
bunch'a,bunch'a,1.0,,1,
artist's’,artist's’,1.0,,1,
o'nine,o'nine,1.0,,1,
ss'not,ss'not,1.0,,1,hiss
'noooo,'noooo,1.0,,1,
hell'a,hell'a,1.0,,1,
a'lotta,A'lotta,1.0,,1,
here'sss,here'sss,1.0,,1,hiss
tsk'ed,tsk'ed,1.0,,1,
don't--that,don't--that,1.0,,1,
y'are,y'are,1.0,,1,
wherefore-art-thou'd,wherefore-art-thou'd,1.0,,1,would
y'mean,Y'mean y'mean,1.0,,2,
o'light,o'light,1.0,,1,
ev'rythin’,ev'rythin’,1.0,,1,
wino'er,winO'er,1.0,,1,
call'st,call'st,1.0,,1,
that'zzz,that'zzz,1.0,,1,buzz
'suora,'suora,1.0,,1,
z'alright,Z'alright,1.0,,1,
aft'r,aft'r,1.0,,1,
l'rd,L'rd,1.0,,1,
protecteth'r,protecteth'r,1.0,,1,
th're,th're,1.0,,1,
w're,w're W're,1.0,,2,
drown'd,drown'd,1.0,,1,would
s'fucking,S'fucking,1.0,,1,
wish'd,wish'd,1.0,,1,would
t'wake,t'wake,1.0,,1,
'mommie,'Mommie,1.0,,1,
one'd,one'd,1.0,,1,would
kitt'n,kitt'n,1.0,,1,
y'rself,y'rself,1.0,,1,
bett'r'n,bett'r'n,1.0,,1,
y'look,Y'look,1.0,,1,
whus',whus',1.0,,1,
just'cause,just'cause,1.0,,1,
righti'm,rightI'm,1.0,,1,
out'ere,out'ere,1.0,,1,
kill'em,kill'em,1.0,,1,
stick'in,stick'in,1.0,,1,
give'em,give'em,1.0,,1,
act'n,act'n,1.0,,1,
jok'n,jok'n,1.0,,1,
th'ritz,th'Ritz,1.0,,1,
t'es,T'es,1.0,,1,
s'cause,S'cause,1.0,,1,
m'almost,m'almost,1.0,,1,
y'come,y'come,1.0,,1,
ssserp'nt,ssserp'nt,1.0,,1,hiss
dont'cha,dont'cha,1.0,,1,
y'not,Y'not,1.0,,1,
g'morning,G'morning g'morning,1.0,,2,
s'ry,S'ry,1.0,,1,
itwe're,itwe're,1.0,,1,
m'alright,M'alright,1.0,,1,
s'cute,S'cute s'cute,1.0,,2,
d'if,D'if d'if,1.0,,2,
dog'd,dog'd,1.0,,1,would
ansssss'er,ansssss'er,1.0,,1,hiss
'ead,'ead,1.0,,1,
yo're,yo're,1.0,,1,
s'fun,S'fun,1.0,,1,
'mhungry,'Mhungry,1.0,,1,
s'middle,S'middle,1.0,,1,
alrigh',alrigh',1.0,,1,
m'n-angel,m'n-angel,1.0,,1,
le',le',1.0,,1,
lipss'r,lipss'r,1.0,,1,hiss
m'drunk,m'drunk,1.0,,1,
have–'m,have–'m,1.0,,1,
'oly,'oly,1.0,,1,
'ood,'ood,1.0,,1,
o'ay,o'ay,1.0,,1,
f'you,f'you,1.0,,1,
m'a,M'a m'a,1.0,??,2,
th'fuck,th'fuck,1.0,,1,
ne'er-do-well-ing,ne'er-do-well-ing,1.0,,1,
'lways,'lways,1.0,,1,
n'much,N'much,1.0,,1,
